category,opendb_id,buildcores_id,name,part_numbers,on_current_feed,in_local_checkout_before,has_any_picture
PCCase,20245fbf-17d0-4fe2-a337-37fa7e51ece8,d29yh499o,NZXT H9 Elite ATX Mid Tower White with Tempered Glass Side Panel,,False,True,True
PCCase,a8d17240-a7a8-49f8-97fc-e09b1c20ecef,v0gjaqow2,"NZXT H3 Flow Micro ATX Mid Tower Black with Tinted Tempered Glass Side Panel and USB 3.2 Gen 2x2 Type-C, USB 3.2 Gen 1 Type-A Front Panel",CC-H31FB-01; CC-H31FB-02,True,True,True
PCCase,f71318da-b9dd-4800-954c-076c56958762,kdcigzkpj,NZXT H6 Flow RGB ATX Mid Tower Black Tempered Glass,CC-H61FB-R1,True,True,True
PCCase,2da4df71-b3a3-412a-b67c-d30f84c77d91,wx2cw4fph,NZXT H6 Flow RGB ATX Mid Tower White Tempered Glass,CC-H61FW-R1,True,True,True
PCCase,68e63b0e-7ce6-4660-84c5-ef9ee8fb7f88,tfmg9jlc9,"NZXT H5 Flow (2024) ATX Mid Tower Black with Tempered Glass Side Panel and USB 3.2 Gen 2x2 Type-C, USB 3.2 Gen 1 Type-A",CC-H52FB-01,True,True,True
PCCase,456a564c-2998-4260-b779-ee852852a829,p8zd4qy82,NZXT H2 Flow Black,CI-H21FB-01,True,True,True
PCCase,09fcde51-6af5-4b38-8f4e-eb3b9c020e52,dc5t3kfbv,NZXT H9 Flow ATX Mid Tower White with Tempered Glass Side Panel,,False,True,True
PCCase,15b80641-01d5-4412-928f-c6d327f2bb77,n0bcfx7bt,NZXT H9 Flow ATX Mid Tower Black Tempered Glass Side Panel,,False,True,True
PCCase,9302d1b4-a0b9-48b3-b84c-2a6d0d04478f,wwxaih9yg,"NZXT H510 Elite ATX Mid Tower White / Black Tempered Glass Side Panel, USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A",CA-H510E-W1,False,True,True
PCCase,9469ee8d-121b-4dd9-87ba-40858b67f5cd,7w986vx9n,"NZXT H9 Flow (2025) ATX Mid Tower Black Tinted Tempered Glass Side Panel, USB 3.2 Gen 2x2 Type-C, USB 3.2 Gen 1 Type-A",CM-H92FB-01; CM-H92FB-02,True,True,True
PCCase,f73a23ba-e91a-4d80-ab50-422abe6b2a05,g9ph7qz2s,NZXT H5 Flow RGB (2024) ATX Mid Tower Black Tempered Glass Side Panel,CC-H52FB-R1,True,True,True
PCCase,b5020a0f-1b6d-41df-acb0-f3c95c959600,tiye8iiim,NZXT H5 Flow (2024) ATX Mid Tower White with Tempered Glass Side Panel and USB 3.2 Gen 2x2 Type-C USB 3.2 Gen 1 Type-A,CC-H52FW-01,True,True,True
PCCase,253a5512-cfbb-4418-9d7c-fc8ace398562,fnerkkqar,NZXT H3 Flow Micro ATX Mid Tower White Tempered Glass Side Panel and USB 3.2 Gen 2x2 Type-C USB 3.2 Gen 1 Type-A,CC-H31FW-01; CC-H31FW-02,True,True,True
PCCase,d1c4ea4c-7e63-4086-951c-2a28ee297da7,o9bx9u9l7,NZXT H6 Flow ATX Mid Tower Black with Tempered Glass Side Panel,CC-H61FB-01,True,True,True
PCCase,7e43d4c9-667d-4c42-ba17-d5f7c0d4b147,df8r9kpya,NZXT H7 Elite - CM-H71EB-01 - ATX Mid Tower PC Gaming Case - Front I/O USB Type-C Port - Quick-Release Tempered Glass Side Panel - Black,CM-H71EB-01,False,True,True
PCCase,55b94e26-2495-4727-acff-6ac025396bcd,1rbt6hney,NZXT H6 (2026) ATX Mid Tower Black Tempered Glass,CC-H62FB-01,True,False,True
PCCase,6960793f-387a-4df5-9625-45a4f0d30bf1,5tp4sd6y6,"NZXT H5 Flow (2022) ATX Mid Tower Black with Tempered Glass Side Panel and USB 3.2 Gen 2x2 Type-C, USB 3.2 Gen 1 Type-A",,False,True,True
PCCase,1b469aa3-4afa-45e7-bc15-9170ccc163d8,by4s2bu7h,NZXT H9 Elite ATX Mid Tower Black Tempered Glass Side Panel,,False,True,True
